timestamp,total_i_mA,batt_mV,core_temp_C,safety,ch1_name,ch1_status,ch1_state,ch1_voltage_mV,ch1_i_inst_mA,ch1_i_avg_mA,ch2_name,ch2_status,ch2_state,ch2_voltage_mV,ch2_i_inst_mA,ch2_i_avg_mA,ch3_name,ch3_status,ch3_state,ch3_voltage_mV,ch3_i_inst_mA,ch3_i_avg_mA,ch4_name,ch4_status,ch4_state,ch4_voltage_mV,ch4_i_inst_mA,ch4_i_avg_mA,ch5_name,ch5_status,ch5_state,ch5_voltage_mV,ch5_i_inst_mA,ch5_i_avg_mA,ch6_name,ch6_status,ch6_state,ch6_voltage_mV,ch6_i_inst_mA,ch6_i_avg_mA,ch7_name,ch7_status,ch7_state,ch7_voltage_mV,ch7_i_inst_mA,ch7_i_avg_mA,ch8_name,ch8_status,ch8_state,ch8_voltage_mV,ch8_i_inst_mA,ch8_i_avg_mA,ch9_name,ch9_status,ch9_state,ch9_voltage_mV,ch9_i_inst_mA,ch9_i_avg_mA,ch10_name,ch10_status,ch10_state,ch10_voltage_mV,ch10_i_inst_mA,ch10_i_avg_mA,ch11_name,ch11_status,ch11_state,ch11_voltage_mV,ch11_i_inst_mA,ch11_i_avg_mA,ch12_name,ch12_status,ch12_state,ch12_voltage_mV,ch12_i_inst_mA,ch12_i_avg_mA,ch13_name,ch13_status,ch13_state,ch13_voltage_mV,ch13_i_inst_mA,ch13_i_avg_mA,ch14_name,ch14_status,ch14_state,ch14_voltage_mV,ch14_i_inst_mA,ch14_i_avg_mA,ch15_name,ch15_status,ch15_state,ch15_voltage_mV,ch15_i_inst_mA,ch15_i_avg_mA,ch16_name,ch16_status,ch16_state,ch16_voltage_mV,ch16_i_inst_mA,ch16_i_avg_mA
1778950364.6901777,4345.0,14354,-46.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14572,140,155.0,,0,0,0,0,0.0,,1,1,14741,0,0.0,,0,1,14785,3850,3830.0,,1,1,14736,0,0.0,,0,1,14599,380,360.0,,0,1,14933,0,0.0,,0,1,14867,0,0.0,,0,1,14686,0,0.0,,0,1,14566,0,0.0,,0,0,0,0,0.0,,0,1,14397,0,0.0,,0,0,0,0,0.0,,0,1,14347,0,0.0
1778950364.7448583,4345.0,14496,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14730,140,155.0,,0,0,0,0,0.0,,1,1,13959,0,0.0,,0,1,13582,3850,3830.0,,0,1,13669,0,0.0,,0,1,14468,380,360.0,,0,1,14933,0,0.0,,0,1,14867,0,0.0,,0,1,14686,0,0.0,,0,1,14566,0,0.0,,0,0,0,0,0.0,,0,1,14397,0,0.0,,0,0,0,0,0.0,,0,1,14347,0,0.0
1778950364.8056872,4523.3,14391,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14730,170,160.0,,0,0,0,0,0.0,,0,1,13959,0,0.0,,0,1,13582,3850,3836.7,,1,1,13669,510,170.0,,0,1,14468,350,356.7,,0,1,14457,0,0.0,,0,1,14473,0,0.0,,0,1,14386,0,0.0,,0,1,14325,0,0.0,,0,0,0,0,0.0,,0,1,14304,0,0.0,,0,0,0,0,0.0,,0,1,14304,0,0.0
1778950364.8567653,4758.0,14527,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14353,160,166.0,,0,0,0,0,0.0,,1,1,14511,0,288.0,,0,1,14500,3860,3846.0,,1,1,14468,0,102.0,,0,1,14418,350,356.0,,0,1,14894,0,0.0,,0,1,14736,0,0.0,,0,1,14583,0,0.0,,0,1,14418,0,0.0,,0,0,0,0,0.0,,0,1,14479,0,0.0,,0,0,0,0,0.0,,0,1,14451,0,0.0
1778950364.9133277,4764.5,14527,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14276,170,172.5,,0,0,0,0,0.0,,0,1,14528,0,288.0,,0,1,14572,3860,3846.0,,1,1,14758,0,102.0,,0,1,14796,350,356.0,,0,1,14894,0,0.0,,0,1,14900,0,0.0,,0,1,14933,0,0.0,,0,1,14265,0,0.0,,0,0,0,0,0.0,,0,1,13510,0,0.0,,0,0,0,0,0.0,,0,1,13844,0,0.0
1778950364.9647675,4902.5,14298,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14216,170,172.5,,0,0,0,0,0.0,,1,1,14375,110,387.5,,0,1,14506,3870,3860.0,,1,1,14774,0,127.5,,0,1,14648,360,355.0,,0,1,14894,0,0.0,,0,1,14900,0,0.0,,0,1,14933,0,0.0,,0,1,14265,0,0.0,,0,0,0,0,0.0,,0,1,13510,0,0.0,,0,0,0,0,0.0,,0,1,13844,0,0.0
1778950365.0157864,4714.0,14695,-47.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14353,220,192.0,,0,0,0,0,0.0,,1,1,14304,0,310.0,,0,1,14429,3840,3850.0,,1,1,14752,0,0.0,,0,1,14763,370,362.0,,0,1,14714,0,0.0,,0,1,14774,0,0.0,,0,1,14665,0,0.0,,0,1,14577,0,0.0,,0,0,0,0,0.0,,0,1,14511,0,0.0,,0,0,0,0,0.0,,0,1,14304,0,0.0
1778950365.067151,4428.0,14490,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14807,230,200.0,,0,0,0,0,0.0,,1,1,14643,0,22.0,,0,1,14697,3840,3846.0,,1,1,14637,0,0.0,,0,1,14375,350,360.0,,0,1,14719,0,0.0,,0,1,14883,0,0.0,,0,1,14807,0,0.0,,0,1,14736,0,0.0,,0,0,0,0,0.0,,0,1,14769,0,0.0,,0,0,0,0,0.0,,0,1,14796,0,0.0
1778950365.118611,4428.0,14490,-45.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14807,230,200.0,,0,0,0,0,0.0,,1,1,14643,0,22.0,,0,1,14697,3840,3846.0,,1,1,14637,0,0.0,,0,1,14375,350,360.0,,0,1,14719,0,0.0,,0,1,14883,0,0.0,,0,1,14807,0,0.0,,0,1,14736,0,0.0,,0,0,0,0,0.0,,0,1,14769,0,0.0,,0,0,0,0,0.0,,0,1,14796,0,0.0
1778950365.1749618,4496.0,14540,-47.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14769,110,184.0,,0,0,0,0,0.0,,0,1,14779,640,128.0,,0,1,14583,3820,3832.0,,1,1,14550,0,0.0,,0,1,14550,330,352.0,,0,1,14686,0,0.0,,0,1,14823,0,0.0,,0,1,14741,0,0.0,,0,1,14692,0,0.0,,0,0,0,0,0.0,,0,1,14654,0,0.0,,0,0,0,0,0.0,,0,1,14424,0,0.0
1778950365.2326565,4479.5,14540,-47.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14342,190,167.5,,0,0,0,0,0.0,,1,1,14462,640,128.0,,0,1,14490,3820,3832.0,,1,1,14604,0,0.0,,0,1,14643,330,352.0,,0,1,14785,0,0.0,,0,1,14894,0,0.0,,0,1,14851,0,0.0,,0,1,14774,0,0.0,,0,0,0,0,0.0,,0,1,14736,0,0.0,,0,0,0,0,0.0,,0,1,14539,0,0.0
1778950365.284765,4480.0,14515,-47.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14686,170,152.5,,0,0,0,0,0.0,,1,1,14659,0,160.0,,0,1,14583,3820,3820.0,,1,1,14462,0,0.0,,0,1,14314,360,347.5,,0,1,14446,0,0.0,,0,1,14539,0,0.0,,0,1,14473,0,0.0,,0,1,14550,0,0.0,,0,0,0,0,0.0,,0,1,14851,0,0.0,,0,0,0,0,0.0,,0,1,14927,0,0.0
1778950365.339694,4462.0,14521,-48.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14686,150,152.0,,0,0,0,0,0.0,,1,1,14681,0,128.0,,0,1,14758,3890,3834.0,,1,1,14254,0,0.0,,0,1,14271,350,348.0,,0,1,14446,0,0.0,,0,1,14561,0,0.0,,0,1,14533,0,0.0,,0,1,14539,0,0.0,,0,0,0,0,0.0,,0,1,14796,0,0.0,,0,0,0,0,0.0,,0,1,14872,0,0.0
1778950365.3915167,4470.0,14521,-48.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,14665,200,177.5,,0,0,0,0,0.0,,1,1,14511,0,0.0,,0,1,14435,3900,3852.5,,0,1,14265,350,87.5,,0,1,14517,340,352.5,,0,1,14610,0,0.0,,0,1,14714,0,0.0,,0,1,14681,0,0.0,,0,1,14659,0,0.0,,0,0,0,0,0.0,,0,1,14823,0,0.0,,0,0,0,0,0.0,,0,1,13839,0,0.0
