timestamp,total_i_mA,batt_mV,core_temp_C,safety,ch1_name,ch1_status,ch1_state,ch1_voltage_mV,ch1_i_inst_mA,ch1_i_avg_mA,ch2_name,ch2_status,ch2_state,ch2_voltage_mV,ch2_i_inst_mA,ch2_i_avg_mA,ch3_name,ch3_status,ch3_state,ch3_voltage_mV,ch3_i_inst_mA,ch3_i_avg_mA,ch4_name,ch4_status,ch4_state,ch4_voltage_mV,ch4_i_inst_mA,ch4_i_avg_mA,ch5_name,ch5_status,ch5_state,ch5_voltage_mV,ch5_i_inst_mA,ch5_i_avg_mA,ch6_name,ch6_status,ch6_state,ch6_voltage_mV,ch6_i_inst_mA,ch6_i_avg_mA,ch7_name,ch7_status,ch7_state,ch7_voltage_mV,ch7_i_inst_mA,ch7_i_avg_mA,ch8_name,ch8_status,ch8_state,ch8_voltage_mV,ch8_i_inst_mA,ch8_i_avg_mA,ch9_name,ch9_status,ch9_state,ch9_voltage_mV,ch9_i_inst_mA,ch9_i_avg_mA,ch10_name,ch10_status,ch10_state,ch10_voltage_mV,ch10_i_inst_mA,ch10_i_avg_mA,ch11_name,ch11_status,ch11_state,ch11_voltage_mV,ch11_i_inst_mA,ch11_i_avg_mA,ch12_name,ch12_status,ch12_state,ch12_voltage_mV,ch12_i_inst_mA,ch12_i_avg_mA,ch13_name,ch13_status,ch13_state,ch13_voltage_mV,ch13_i_inst_mA,ch13_i_avg_mA,ch14_name,ch14_status,ch14_state,ch14_voltage_mV,ch14_i_inst_mA,ch14_i_avg_mA,ch15_name,ch15_status,ch15_state,ch15_voltage_mV,ch15_i_inst_mA,ch15_i_avg_mA,ch16_name,ch16_status,ch16_state,ch16_voltage_mV,ch16_i_inst_mA,ch16_i_avg_mA
1778950989.497549,3980.0,13463,-41.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13489,20,20.0,,0,0,0,0,0.0,,1,1,13242,0,0.0,,0,1,13532,3680,3680.0,,1,1,13560,0,0.0,,0,1,13538,280,280.0,,0,1,13494,0,0.0,,0,1,13450,0,0.0,,0,1,13248,0,0.0,,0,1,13308,0,0.0,,0,0,0,0,0.0,,0,1,13275,0,0.0,,0,0,0,0,0.0,,0,1,13450,0,0.0
1778950989.5501668,3980.0,13463,-41.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13286,20,20.0,,0,0,0,0,0.0,,1,1,13401,0,0.0,,0,1,13560,3680,3680.0,,1,1,13549,0,0.0,,0,1,13494,280,280.0,,0,1,13461,0,0.0,,0,1,13461,0,0.0,,0,1,13319,0,0.0,,0,1,13242,0,0.0,,0,0,0,0,0.0,,0,1,13275,0,0.0,,0,0,0,0,0.0,,0,1,13450,0,0.0
1778950989.608238,4006.7,13475,-43.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13346,30,23.3,,0,0,0,0,0.0,,1,1,13489,0,0.0,,0,1,13538,3760,3716.7,,1,1,13625,0,0.0,,0,1,13330,250,266.7,,0,1,13510,0,0.0,,0,1,13467,0,0.0,,0,1,13450,0,0.0,,0,1,13374,0,0.0,,0,0,0,0,0.0,,0,1,13374,0,0.0,,0,0,0,0,0.0,,0,1,13516,0,0.0
1778950989.6667197,4017.5,13463,-41.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13423,60,32.5,,0,0,0,0,0.0,,1,1,13461,0,0.0,,0,1,13521,3730,3720.0,,1,1,13401,0,0.0,,0,1,13346,260,265.0,,0,1,13582,0,0.0,,0,1,13620,0,0.0,,0,1,13560,0,0.0,,0,1,13401,0,0.0,,0,0,0,0,0.0,,0,1,13396,0,0.0,,0,0,0,0,0.0,,0,1,13286,0,0.0
1778950989.7171123,3994.0,13450,-44.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13445,30,34.0,,0,0,0,0,0.0,,1,1,13587,0,0.0,,0,1,13532,3650,3706.0,,1,1,13489,0,0.0,,0,1,13423,250,254.0,,0,1,13461,0,0.0,,0,1,13587,0,0.0,,0,1,13603,0,0.0,,0,1,13532,0,0.0,,0,0,0,0,0.0,,0,1,13543,0,0.0,,0,0,0,0,0.0,,0,1,13390,0,0.0
1778950989.76853,3994.0,13450,-44.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13445,30,34.0,,0,0,0,0,0.0,,1,1,13587,0,0.0,,0,1,13532,3650,3706.0,,1,1,13489,0,0.0,,0,1,13423,250,254.0,,0,1,13461,0,0.0,,0,1,13587,0,0.0,,0,1,13603,0,0.0,,0,1,13532,0,0.0,,0,0,0,0,0.0,,0,1,13543,0,0.0,,0,0,0,0,0.0,,0,1,13390,0,0.0
1778950989.8194082,3980.0,13450,-44.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13456,60,45.0,,0,0,0,0,0.0,,1,1,13642,0,0.0,,0,1,13571,3690,3687.5,,1,1,13445,0,0.0,,0,1,13510,240,247.5,,0,1,13341,0,0.0,,0,1,13313,0,0.0,,0,1,13324,0,0.0,,0,1,13401,0,0.0,,0,0,0,0,0.0,,0,1,13565,0,0.0,,0,0,0,0,0.0,,0,1,13494,0,0.0
1778950989.8701544,3988.0,13432,-43.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13423,50,46.0,,0,0,0,0,0.0,,1,1,13346,0,0.0,,0,1,13324,3730,3696.0,,1,1,13532,0,0.0,,0,1,13489,250,246.0,,0,1,13423,0,0.0,,0,1,13368,0,0.0,,0,1,13303,0,0.0,,0,1,13412,0,0.0,,0,0,0,0,0.0,,0,1,13549,0,0.0,,0,0,0,0,0.0,,0,1,13631,0,0.0
1778950989.9211218,3988.0,13432,-43.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13494,50,46.0,,0,0,0,0,0.0,,1,1,13248,0,0.0,,0,1,13385,3730,3696.0,,1,1,13248,0,0.0,,0,1,13363,250,246.0,,0,1,13423,0,0.0,,0,1,13368,0,0.0,,0,1,13303,0,0.0,,0,1,13412,0,0.0,,0,0,0,0,0.0,,0,1,13549,0,0.0,,0,0,0,0,0.0,,0,1,13631,0,0.0
1778950989.9726813,4010.0,13494,-44.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13494,30,50.0,,0,0,0,0,0.0,,1,1,13248,0,0.0,,0,1,13385,3710,3715.0,,1,1,13248,0,0.0,,0,1,13363,240,245.0,,0,1,13390,0,0.0,,0,1,13406,0,0.0,,0,1,13330,0,0.0,,0,1,13193,0,0.0,,0,0,0,0,0.0,,0,1,13374,0,0.0,,0,0,0,0,0.0,,0,1,13439,0,0.0
1778950990.02314,4030.0,13475,-43.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13489,40,50.0,,0,0,0,0,0.0,,1,1,13417,0,0.0,,0,1,13297,3750,3720.0,,1,1,13193,0,0.0,,0,1,13423,280,260.0,,0,1,13543,0,0.0,,0,1,13521,0,0.0,,0,1,13510,0,0.0,,0,1,13423,0,0.0,,0,0,0,0,0.0,,0,1,13483,0,0.0,,0,0,0,0,0.0,,0,1,13401,0,0.0
1778950990.0741417,4030.0,13475,-43.0,1,,0,0,0,0,0.0,,0,0,0,0,0.0,,0,1,13467,40,50.0,,0,0,0,0,0.0,,1,1,13417,0,0.0,,0,1,13297,3750,3720.0,,1,1,13193,0,0.0,,0,1,13423,280,260.0,,0,1,13543,0,0.0,,0,1,13521,0,0.0,,0,1,13510,0,0.0,,0,1,13423,0,0.0,,0,0,0,0,0.0,,0,1,13483,0,0.0,,0,0,0,0,0.0,,0,1,13401,0,0.0
