Comment,Designator,Footprint,LCSC,Quantity
4k7,R142,R_0402_1005Metric,,1
Conn_01x03_Pin,J7,PinHeader_1x03_P2.00mm_Vertical,,1
100nF,C150,R_0402_1005Metric,,1
BAT54BRW-7-F,D24,SOT65P210X110-6N,,1
BAT54BRW-7-F,D26,SOT65P210X110-6N,,1
BAT54BRW-7-F,D25,SOT65P210X110-6N,,1
BAT54BRW-7-F,D23,SOT65P210X110-6N,,1
47,R94,R_0805_2012Metric,,1
47,R28,R_0805_2012Metric,,1
100nF,C149,R_0402_1005Metric,,1
100nF,C148,R_0402_1005Metric,,1
100nF,C147,R_0402_1005Metric,,1
100nF,C146,R_0402_1005Metric,,1
100nF,C145,R_0402_1005Metric,,1
100nF,C144,R_0402_1005Metric,,1
100nF,C143,R_0402_1005Metric,,1
100nF,C142,R_0402_1005Metric,,1
100nF,C141,R_0402_1005Metric,,1
100nF,C140,R_0402_1005Metric,,1
100nF,C139,R_0402_1005Metric,,1
100nF,C138,R_0402_1005Metric,,1
100nF,C137,R_0402_1005Metric,,1
100nF,C136,R_0402_1005Metric,,1
100nF,C135,R_0402_1005Metric,,1
100nF,C134,R_0402_1005Metric,,1
100nF,C133,R_0402_1005Metric,,1
1.2k,R68,R_0402_1005Metric,,1
1uF,C3,C_0805_2012Metric,,1
MP4322GDE-P,U7,QFN-12_MP4322_MNP,,1
AFUSE,TP9,TestPoint_Pad_D2.0mm,,1
100nF,C91,R_0402_1005Metric,,1
1nF,C130,C_0402_1005Metric,,1
4.7k,R102,R_0402_1005Metric,,1
D_TVS,D52,D_SMC,,1
10nF,C116,C_0402_1005Metric,,1
100nF,C78,C_0402_1005Metric,,1
1.2k,R83,R_0402_1005Metric,,1
2.3k,R17,R_0402_1005Metric,,1
BTS500101LUAAUMA1,Q6,BTS500101LUAAUMA1,,1
4.7k,R115,R_0402_1005Metric,,1
1.2k,R98,R_0402_1005Metric,,1
1k,R206,R_0402_1005Metric,,1
WS2812B-2020,D18,WS2812B2020,,1
1.2k,R77,R_0402_1005Metric,,1
1k,R72,R_0402_1005Metric,,1
0.1uF,C31,C_0805_2012Metric,,1
NA,R122,R_0402_1005Metric,,1
4.7k,R25,R_0402_1005Metric,,1
100nF/50V,C22,C_0402_1005Metric,,1
10nF,C105,C_0402_1005Metric,,1
10nF,C73,C_0603_1608Metric,,1
BTS500101LUAAUMA1,Q4,BTS500101LUAAUMA1,,1
SAFETY,,Molex_PicoBlade_53047-0410_1x04_P1.25mm_Vertical,,0
1k5,R173,R_0402_1005Metric,,1
1nF,C113,C_0402_1005Metric,,1
WS2812B-2020,D10,WS2812B2020,,1
120,R59,R_0402_1005Metric,,1
10nF,C70,C_0603_1608Metric,,1
4.7k,R101,R_0402_1005Metric,,1
AFUSE,TP5,TestPoint_Pad_D2.0mm,,1
BTS722204ESAXUMA1,IC7,SOP65P600X115-25N,,1
SMC_TVS_28V,D51,D_SMC,,1
WS2812B-2020,D21,WS2812B2020,,1
1k,R201,R_0402_1005Metric,,1
2.3k,R37,R_0402_1005Metric,,1
100nF,C2,C_0402_1005Metric,,1
1k,R211,R_0402_1005Metric,,1
1.2k,R75,R_0402_1005Metric,,1
22uF,C59,C_1206_3216Metric,,1
