Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_12x9.5RM7.6,91.948,-145.034,-90.0,top
C1,4.7uF,C_0805_2012Metric,101.7118,-147.56,90.0,top
C10,10uF,C_1206_3216Metric,96.46,-132.164997,-90.0,top
C100,10nF,C_0402_1005Metric,38.4196,-75.7372,180.0,top
C101,100nF,C_0805_2012Metric,33.307,-92.2178,0.0,top
C102,100nF,R_0402_1005Metric,34.11,-113.44,315.0,bottom
C103,10nF,C_0402_1005Metric,42.33,-112.39,270.0,bottom
C104,1nF,C_0402_1005Metric,53.1346,-74.4972,0.0,top
C105,10nF,C_0402_1005Metric,50.4946,-75.7372,180.0,top
C106,100nF,C_0805_2012Metric,45.3974,-92.218601,180.0,top
C107,NA,C_0402_1005Metric,52.21,-124.07,135.0,top
C108,10nF,C_0402_1005Metric,54.5592,-114.7032,270.0,bottom
C109,1nF,C_0402_1005Metric,65.2096,-74.4972,0.0,top
C11,10uF,C_1206_3216Metric,96.44,-137.154999,90.0,top
C110,10nF,C_0402_1005Metric,62.5696,-75.7372,180.0,top
C111,100nF,C_0805_2012Metric,57.4878,-92.2186,180.0,top
C112,100nF,C_0402_1005Metric,55.63,-120.32,270.0,bottom
C113,1nF,C_0402_1005Metric,28.99,-74.5,0.0,top
C114,10nF,C_0402_1005Metric,55.7276,-114.7272,270.0,bottom
C115,1nF,C_0402_1005Metric,77.2824,-74.4884,0.0,top
C116,10nF,C_0402_1005Metric,74.6424,-75.7284,180.0,top
C117,100nF,C_0805_2012Metric,69.5556,-92.2186,180.0,top
C118,100nF,C_0402_1005Metric,59.08,-142.3,-90.0,top
C119,10nF,C_0402_1005Metric,56.8452,-114.7292,270.0,bottom
C12,10uF,C_1206_3216Metric,98.8784,-137.154998,90.0,top
C120,1nF,C_0402_1005Metric,89.3524,-74.4784,0.0,top
C121,10nF,C_0402_1005Metric,86.7124,-75.7184,180.0,top
C122,100nF,C_0805_2012Metric,81.6432,-92.2186,180.0,top
C123,NA,C_0402_1005Metric,43.589411,-127.740589,315.0,bottom
C124,10nF,C_0402_1005Metric,56.46,-117.37,315.0,bottom
C125,1nF,C_0402_1005Metric,101.4224,-74.4884,0.0,top
C126,10nF,C_0402_1005Metric,98.7824,-75.7284,180.0,top
C127,100nF,C_0805_2012Metric,93.7082,-92.2178,180.0,top
C128,NA,C_0402_1005Metric,44.89,-147.19,135.0,bottom
C129,10nF,C_0402_1005Metric,54.5852,-118.8212,0.0,bottom
C13,10uF,C_1206_3216Metric,98.8984,-132.164997,-90.0,top
C130,1nF,C_0402_1005Metric,113.4924,-74.4984,0.0,top
C131,10nF,C_0402_1005Metric,110.8524,-75.7384,180.0,top
C132,100nF,C_0805_2012Metric,105.7732,-92.2186,180.0,top
C133,100nF,R_0402_1005Metric,111.02,-154.74,-90.0,top
C134,100nF,R_0402_1005Metric,107.85,-161.99,0.0,top
C135,100nF,R_0402_1005Metric,103.22,-161.99,0.0,top
C136,100nF,R_0402_1005Metric,98.58,-161.99,0.0,top
C137,100nF,R_0402_1005Metric,93.96,-161.99,0.0,top
C138,100nF,R_0402_1005Metric,89.33,-161.99,0.0,top
C139,100nF,R_0402_1005Metric,84.72,-161.99,0.0,top
C14,10nF,C_0603_1608Metric,84.6,-108.3,90.0,top
C140,100nF,R_0402_1005Metric,80.1,-161.99,0.0,top
C141,100nF,R_0402_1005Metric,75.44,-161.99,0.0,top
C142,100nF,R_0402_1005Metric,70.82,-161.99,0.0,top
C143,100nF,R_0402_1005Metric,66.16,-161.99,0.0,top
C144,100nF,R_0402_1005Metric,61.57,-161.99,0.0,top
C145,100nF,R_0402_1005Metric,56.94,-161.99,0.0,top
C146,100nF,R_0402_1005Metric,52.33,-161.99,0.0,top
C147,100nF,R_0402_1005Metric,47.7,-161.99,0.0,top
C148,100nF,R_0402_1005Metric,43.1,-161.99,0.0,top
C149,100nF,R_0402_1005Metric,38.4,-161.99,0.0,top
C15,10nF,C_0603_1608Metric,87.3,-108.3,90.0,top
C150,100nF,R_0402_1005Metric,20.7,-113.02,0.0,top
C16,10nF,C_0603_1608Metric,89.15,-108.3,90.0,top
C17,10nF,C_0603_1608Metric,91.8,-108.3,90.0,top
C18,220pF,C_0402_1005Metric,70.06,-124.96,0.0,top
C19,470nF,C_0805_2012Metric,81.8,-121.58,0.0,top
C2,100nF,C_0402_1005Metric,71.92,-110.53,0.0,top
C20,100nF,R_0402_1005Metric,94.3,-113.45,-90.0,top
C21,100pF/50V,C_0402_1005Metric,86.34,-135.55,-90.0,top
C22,100nF/50V,C_0402_1005Metric,85.29,-135.55,-90.0,top
C23,1nF,C_0402_1005Metric,72.67,-128.89,90.0,top
C24,10nF,C_0402_1005Metric,71.59,-128.89,90.0,top
C25,2.2uF,C_0805_2012Metric,70.25,-135.66,0.0,top
C26,2.2uF,C_0805_2012Metric,70.26,-137.89,0.0,top
C27,22uF,CP_Elec_6.3x9.9,71.47,-153.56,180.0,top
C28,4.7uF,C_1206_3216Metric,84.2075,-147.5675,90.0,top
C29,4.7uF,C_1206_3216Metric,73.4075,-147.5675,90.0,top
C3,1uF,C_0805_2012Metric,110.1344,-64.0,180.0,top
C30,0.1uF,C_0805_2012Metric,81.7075,-147.1425,90.0,top
C31,0.1uF,C_0805_2012Metric,75.9075,-147.142499,90.0,top
C32,47nF,C_0402_1005Metric,34.542301,-121.903876,225.0,bottom
C33,47nF,C_0402_1005Metric,35.23173,-121.214447,225.0,bottom
C34,47nF,C_0402_1005Metric,35.921159,-120.525018,225.0,bottom
C35,47nF,C_0402_1005Metric,36.610589,-119.835589,225.0,bottom
C36,47nF,C_0402_1005Metric,37.300018,-119.14616,225.0,bottom
C37,47nF,C_0402_1005Metric,37.989447,-118.456731,225.0,bottom
C38,47nF,C_0402_1005Metric,38.682411,-117.763766,225.0,bottom
C39,47nF,C_0402_1005Metric,39.368305,-117.077873,225.0,bottom
C4,4.7uF,C_0603_1608Metric,112.466811,-60.113,-90.0,top
C40,1F,CAPCP3225X100N,61.37,-127.63,-135.0,top
C41,4u7,R_0402_1005Metric,25.72,-131.04,45.0,top
C42,10pF,R_0402_1005Metric,49.446212,-122.995968,135.0,top
C43,1uF,R_0402_1005Metric,46.4,-119.6,45.0,top
C44,100nF,R_0402_1005Metric,32.77,-129.71,135.0,bottom
C45,100nF,R_0402_1005Metric,47.97,-144.24,-135.0,top
C46,10pF,R_0402_1005Metric,52.779528,-119.909493,-45.0,top
C47,100nF,R_0402_1005Metric,45.572402,-118.764573,45.0,top
C48,100nF,R_0402_1005Metric,36.39,-126.15,135.0,bottom
